Team,Opposition,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
United Arab Emirates,v Ireland,2015-2023,9,1,8,0,0,0,0,0,0.125,11.11,88.88,0,11.11
United Arab Emirates,v Jersey,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
United Arab Emirates,v Namibia,2020-2023,7,6,1,0,0,0,0,0,6,85.71,14.28,0,85.71
United Arab Emirates,v Nepal,2018-2023,15,6,9,0,0,0,0,0,0.666,40,60,0,40
United Arab Emirates,v Netherlands,1996-1996,1,1,0,0,0,0,0,0,-,100,0,0,100
United Arab Emirates,v New Zealand,1996-1996,1,0,1,0,0,0,0,0,0,0,100,0,-
United Arab Emirates,v Oman,2020-2023,8,3,4,0,1,0,0,0,0.75,37.5,50,0,43.75
United Arab Emirates,v Pakistan,1994-2015,3,0,3,0,0,0,0,0,0,0,100,0,-
United Arab Emirates,v Papua New Guinea,2017-2023,11,6,5,0,0,0,0,0,1.2,54.54,45.45,0,54.54
United Arab Emirates,v Scotland,2014-2023,13,4,9,0,0,0,0,0,0.444,30.76,69.23,0,30.76
United Arab Emirates,v South Africa,1996-2015,2,0,2,0,0,0,0,0,0,0,100,0,-
United Arab Emirates,v Sri Lanka,2004-2023,3,0,3,0,0,0,0,0,0,0,100,0,-
United Arab Emirates,v United States of America,2019-2023,7,2,5,0,0,0,0,0,0.4,28.57,71.42,0,28.57
United Arab Emirates,v West Indies,2015-2023,5,0,5,0,0,0,0,0,0,0,100,0,-
United Arab Emirates,v Zimbabwe,2015-2019,6,1,5,0,0,0,0,0,0.2,16.66,83.33,0,16.66
United States of America,v Australia,2004-2004,1,0,1,0,0,0,0,0,0,0,100,0,-
United States of America,v Canada,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
United States of America,v Ireland,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
United States of America,v Jersey,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
United States of America,v Namibia,2019-2023,7,3,4,0,0,0,0,0,0.75,42.85,57.14,0,42.85
United States of America,v Nepal,2020-2023,7,2,4,0,1,0,0,0,0.5,28.57,57.14,0,35.71
United States of America,v Netherlands,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
United States of America,v New Zealand,2004-2004,1,0,1,0,0,0,0,0,0,0,100,0,-
United States of America,v Oman,2020-2022,6,1,5,0,0,0,0,0,0.2,16.66,83.33,0,16.66
United States of America,v Papua New Guinea,2019-2023,10,7,2,0,1,0,0,0,3.5,70,20,0,75
United States of America,v Scotland,2019-2022,6,3,3,0,0,0,0,0,1,50,50,0,50
United States of America,v United Arab Emirates,2019-2023,7,5,2,0,0,0,0,0,2.5,71.42,28.57,0,71.42
United States of America,v West Indies,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
United States of America,v Zimbabwe,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
West Indies,v Afghanistan,2017-2019,9,5,3,0,0,0,0,1,1.666,55.55,33.33,0,62.5
West Indies,v Australia,1975-2021,143,61,76,0,3,0,0,3,0.802,42.65,53.14,0,44.64
West Indies,v Bangladesh,1999-2022,44,21,21,0,0,0,0,2,1,47.72,47.72,0,50
West Indies,v Bermuda,2008-2008,1,1,0,0,0,0,0,0,-,100,0,0,100
West Indies,v Canada,2003-2010,4,4,0,0,0,0,0,0,-,100,0,0,100
West Indies,v England,1973-2019,102,44,52,0,0,0,0,6,0.846,43.13,50.98,0,45.83
West Indies,v India,1979-2023,142,64,72,0,2,0,0,4,0.888,45.07,50.7,0,47.1
West Indies,v Ireland,2007-2022,15,11,3,0,0,0,0,1,3.666,73.33,20,0,78.57
West Indies,v Kenya,1996-2003,6,5,1,0,0,0,0,0,5,83.33,16.66,0,83.33
West Indies,v Nepal,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
West Indies,v Netherlands,2007-2023,6,5,0,0,0,0,1,0,-,83.33,0,0,91.66
West Indies,v New Zealand,1975-2022,68,31,30,0,0,0,0,7,1.033,45.58,44.11,0,50.81
West Indies,v Oman,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
West Indies,v Pakistan,1975-2022,137,71,63,0,3,0,0,0,1.126,51.82,45.98,0,52.91
West Indies,v Papua New Guinea,2018-2018,1,1,0,0,0,0,0,0,-,100,0,0,100
West Indies,v Scotland,1999-2023,4,3,1,0,0,0,0,0,3,75,25,0,75
West Indies,v South Africa,1992-2023,64,16,45,0,1,0,0,2,0.355,25,70.31,0,26.61
West Indies,v Sri Lanka,1975-2023,64,31,30,0,0,0,0,3,1.033,48.43,46.87,0,50.81
West Indies,v United Arab Emirates,2015-2023,5,5,0,0,0,0,0,0,-,100,0,0,100
West Indies,v United States of America,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
West Indies,v Zimbabwe,1983-2023,49,36,11,0,1,0,0,1,3.272,73.46,22.44,0,76.04
Zimbabwe,v Afghanistan,2014-2022,28,10,18,0,0,0,0,0,0.555,35.71,64.28,0,35.71
Zimbabwe,v Australia,1983-2022,33,3,29,0,0,0,0,1,0.103,9.09,87.87,0,9.37
Zimbabwe,v Bangladesh,1997-2022,81,30,51,0,0,0,0,0,0.588,37.03,62.96,0,37.03
Zimbabwe,v Bermuda,2006-2006,2,2,0,0,0,0,0,0,-,100,0,0,100
Zimbabwe,v Canada,2006-2011,2,2,0,0,0,0,0,0,-,100,0,0,100
Zimbabwe,v England,1992-2004,30,8,21,0,0,0,0,1,0.38,26.66,70,0,27.58
Zimbabwe,v Hong Kong,2018-2018,1,1,0,0,0,0,0,0,-,100,0,0,100
Zimbabwe,v India,1983-2022,66,10,54,0,2,0,0,0,0.185,15.15,81.81,0,16.66
Zimbabwe,v Ireland,2007-2023,19,8,8,0,1,0,0,2,1,42.1,42.1,0,50
Zimbabwe,v Kenya,1996-2011,32,25,5,0,0,0,0,2,5,78.12,15.62,0,83.33
Zimbabwe,v Namibia,2003-2003,1,1,0,0,0,0,0,0,-,100,0,0,100
Zimbabwe,v Nepal,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Zimbabwe,v Netherlands,2003-2023,7,4,3,0,0,0,0,0,1.333,57.14,42.85,0,57.14
Zimbabwe,v New Zealand,1987-2015,38,9,27,0,1,0,0,1,0.333,23.68,71.05,0,25.67
Zimbabwe,v Oman,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Zimbabwe,v Pakistan,1992-2020,62,4,54,0,1,1,0,2,0.074,6.45,87.09,0,8.33
Zimbabwe,v Scotland,2017-2023,4,1,2,0,1,0,0,0,0.5,25,50,0,37.5
Zimbabwe,v South Africa,1992-2018,41,2,38,0,0,0,0,1,0.052,4.87,92.68,0,5
Zimbabwe,v Sri Lanka,1992-2023,61,12,47,0,0,0,0,2,0.255,19.67,77.04,0,20.33
Zimbabwe,v United Arab Emirates,2015-2019,6,5,1,0,0,0,0,0,5,83.33,16.66,0,83.33
Zimbabwe,v United States of America,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Zimbabwe,v West Indies,1983-2023,49,11,36,0,1,0,0,1,0.305,22.44,73.46,0,23.95
