Team,Opposition,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Kenya,v Sri Lanka,1996-2011,6,1,5,0,0,0,0,0,0.2,16.66,83.33,0,16.66
Kenya,v West Indies,1996-2003,6,1,5,0,0,0,0,0,0.2,16.66,83.33,0,16.66
Kenya,v Zimbabwe,1996-2011,32,5,25,0,0,0,0,2,0.2,15.62,78.12,0,16.66
Namibia,v Australia,2003-2003,1,0,1,0,0,0,0,0,0,0,100,0,-
Namibia,v Canada,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Namibia,v England,2003-2003,1,0,1,0,0,0,0,0,0,0,100,0,-
Namibia,v India,2003-2003,1,0,1,0,0,0,0,0,0,0,100,0,-
Namibia,v Jersey,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Namibia,v Nepal,2022-2023,6,3,2,0,0,0,0,1,1.5,50,33.33,0,60
Namibia,v Netherlands,2003-2003,1,0,1,0,0,0,0,0,0,0,100,0,-
Namibia,v Oman,2019-2022,7,5,2,0,0,0,0,0,2.5,71.42,28.57,0,71.42
Namibia,v Pakistan,2003-2003,1,0,1,0,0,0,0,0,0,0,100,0,-
Namibia,v Papua New Guinea,2019-2023,7,7,0,0,0,0,0,0,-,100,0,0,100
Namibia,v Scotland,2022-2023,6,1,5,0,0,0,0,0,0.2,16.66,83.33,0,16.66
Namibia,v United Arab Emirates,2020-2023,7,1,6,0,0,0,0,0,0.166,14.28,85.71,0,14.28
Namibia,v United States of America,2019-2023,7,4,3,0,0,0,0,0,1.333,57.14,42.85,0,57.14
Namibia,v Zimbabwe,2003-2003,1,0,1,0,0,0,0,0,0,0,100,0,-
Nepal,v India,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Nepal,v Ireland,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Nepal,v Namibia,2022-2023,6,2,3,0,0,0,0,1,0.666,33.33,50,0,40
Nepal,v Netherlands,2018-2023,3,1,2,0,0,0,0,0,0.5,33.33,66.66,0,33.33
Nepal,v Oman,2020-2023,7,3,4,0,0,0,0,0,0.75,42.85,57.14,0,42.85
Nepal,v Pakistan,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Nepal,v Papua New Guinea,2021-2023,10,8,2,0,0,0,0,0,4,80,20,0,80
Nepal,v Scotland,2022-2023,6,3,3,0,0,0,0,0,1,50,50,0,50
Nepal,v United Arab Emirates,2018-2023,15,9,6,0,0,0,0,0,1.5,60,40,0,60
Nepal,v United States of America,2020-2023,7,4,2,0,1,0,0,0,2,57.14,28.57,0,64.28
Nepal,v West Indies,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Nepal,v Zimbabwe,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
